Date,AAPL,AXP,CSCO,GE,GS,IBM,INTC,JPM,MMM,MSFT,TRV,VZ
2021-08-02,143.64,164.93,52.19,77.94,356.46,121.08,49.94,142.49,178.67,279.22,142.62,49.71
2021-08-03,145.46,164.71,52.94,79.84,358.51,123.35,50.3,144.12,181.84,281.47,144.0,49.68
2021-08-04,145.05,163.75,52.41,79.73,356.15,122.23,50.15,142.56,178.68,280.87,143.16,49.36
2021-08-05,145.16,165.28,52.48,79.81,362.22,122.24,50.47,144.36,178.92,283.82,144.18,49.3
2021-08-06,144.47,166.97,52.32,80.97,375.03,123.37,50.49,148.46,179.22,283.77,146.32,49.23
2021-08-09,144.42,166.41,52.21,80.35,376.9,122.33,50.62,148.3,178.58,282.66,146.85,49.14
2021-08-10,143.93,165.15,52.34,82.18,384.53,122.44,50.51,150.12,180.23,280.81,147.67,49.46
2021-08-11,144.19,166.3,52.57,82.15,390.11,123.09,50.7,151.91,182.33,281.31,149.57,49.54
2021-08-12,147.19,164.2,53.07,82.52,391.15,123.9,50.14,152.5,182.2,284.11,149.84,49.6
2021-08-13,147.39,161.83,53.15,81.28,387.18,124.0,50.09,150.8,181.43,287.09,149.67,49.81
2021-08-16,149.39,161.5,52.97,80.07,384.89,124.35,50.07,149.81,183.01,288.8,151.04,49.91
2021-08-17,148.47,160.43,52.71,78.73,381.7,123.34,49.34,148.0,180.5,287.31,152.15,50.08
2021-08-18,144.69,157.98,51.91,78.56,375.89,120.79,48.87,146.65,177.75,285.56,151.97,49.45
2021-08-19,145.02,154.96,53.9,77.02,370.96,119.53,49.11,145.43,176.71,291.49,152.7,49.36
2021-08-20,146.5,155.66,54.79,77.51,373.12,120.47,48.71,145.84,176.97,298.94,154.0,49.5
2021-08-23,148.0,156.34,55.1,78.22,378.38,120.92,49.85,147.71,177.44,299.23,153.1,49.41
2021-08-24,147.91,157.07,55.83,80.01,385.08,121.11,50.39,148.62,177.51,297.24,153.81,49.04
2021-08-25,146.66,161.92,55.86,81.11,389.38,121.12,50.39,151.68,177.13,296.64,155.67,48.97
2021-08-26,145.85,161.27,55.72,80.09,388.71,120.19,49.75,152.47,178.02,293.77,153.17,48.68
2021-08-27,146.9,164.33,55.55,82.19,395.58,120.73,50.47,153.69,177.78,294.39,155.2,48.83
2021-08-30,151.37,160.05,55.65,81.49,389.84,120.35,50.51,151.23,178.8,298.19,152.66,48.83
2021-08-31,150.09,161.71,55.55,81.66,391.64,121.54,50.63,150.77,177.5,296.51,152.92,49.03
2021-09-01,150.77,160.23,55.57,80.31,391.79,120.64,50.26,150.55,176.31,296.46,152.51,48.98
2021-09-02,151.89,157.9,56.03,82.32,392.58,121.25,50.32,151.25,177.63,295.79,153.17,49.29
2021-09-03,152.54,155.22,55.92,81.15,389.56,120.88,50.11,150.34,177.18,295.78,152.4,49.42
2021-09-07,154.9,155.63,55.42,80.02,388.62,119.57,50.24,150.07,169.15,294.84,151.09,48.87
2021-09-08,153.34,154.86,55.23,79.47,383.58,120.09,50.17,149.4,171.25,294.87,151.99,48.95
2021-09-09,152.31,155.31,55.15,80.02,383.19,119.29,50.01,150.05,169.3,291.96,152.09,48.53
2021-09-10,147.27,154.65,54.48,79.02,382.14,118.66,50.42,148.33,168.21,290.45,150.55,48.35
2021-09-13,147.84,157.31,54.68,80.93,387.62,119.64,51.5,150.69,168.83,291.71,152.99,48.69
2021-09-14,146.43,155.39,54.47,77.77,382.34,117.97,51.06,148.06,166.27,294.46,150.54,48.51
2021-09-15,147.33,157.21,54.17,79.15,380.7,118.82,51.62,149.08,167.88,299.4,151.72,48.65
2021-09-16,147.09,158.46,53.96,78.51,375.7,118.15,51.35,149.02,166.49,299.79,150.85,48.52
2021-09-17,144.39,159.72,53.51,77.84,370.76,117.11,50.81,148.63,165.42,294.53,150.48,48.39
2021-09-20,141.31,156.46,52.6,77.32,358.13,116.32,49.61,144.18,164.54,289.06,146.99,48.37
2021-09-21,141.79,159.09,52.01,75.01,355.97,115.16,49.51,144.2,162.62,289.55,147.28,48.17
2021-09-22,144.18,163.2,52.25,76.34,365.09,116.59,50.1,146.96,163.92,293.27,148.64,48.19
2021-09-23,145.15,168.92,53.35,79.76,371.14,118.41,50.6,151.93,165.46,294.23,150.22,48.52
2021-09-24,145.24,171.22,53.39,80.48,370.18,119.07,50.78,153.68,165.01,294.02,150.65,48.47
2021-09-27,143.71,172.24,52.91,81.68,378.67,120.0,51.19,157.4,165.69,288.94,150.48,48.56
2021-09-28,140.29,168.7,52.25,81.97,368.9,119.05,50.57,156.55,164.11,278.47,147.79,48.28
2021-09-29,141.2,167.15,52.22,82.4,364.54,120.54,50.09,156.43,164.86,278.95,149.12,48.48
2021-09-30,139.88,163.24,51.23,79.88,358.04,120.32,49.89,154.3,159.89,276.9,146.36,48.15
2021-10-01,141.02,169.48,51.9,82.04,359.91,124.12,50.44,157.54,161.04,283.96,146.76,48.41
2021-10-04,137.55,168.24,51.38,81.33,354.37,124.8,50.07,157.37,160.45,278.07,145.75,48.59
2021-10-05,139.5,170.28,51.82,81.33,365.41,123.97,50.52,159.94,162.13,283.62,147.89,48.6
2021-10-06,140.38,168.96,51.11,80.89,367.53,123.29,50.55,160.28,162.6,287.89,149.33,48.61
2021-10-07,141.65,170.25,52.13,81.8,369.96,122.81,50.74,161.29,162.06,289.6,151.4,48.62
2021-10-08,141.27,171.09,52.19,81.19,372.04,124.03,50.39,161.42,161.28,289.6,151.48,48.03
2021-10-11,141.18,169.44,52.05,80.7,364.87,123.35,50.04,158.02,160.67,288.99,150.42,47.07
2021-10-12,139.89,170.85,51.43,79.64,366.09,121.65,48.86,156.81,159.99,287.67,150.66,46.3
2021-10-13,139.3,164.81,51.75,79.36,365.88,121.9,48.94,152.67,161.48,291.04,150.58,46.32
2021-10-14,142.12,167.53,52.73,79.66,370.51,124.18,50.48,155.02,164.35,297.36,150.87,46.84
2021-10-15,143.18,171.73,52.35,80.95,384.6,125.24,51.0,157.99,165.83,298.8,149.86,47.15
2021-10-18,144.87,172.72,52.29,80.73,391.81,123.25,51.01,157.94,165.63,301.82,147.2,46.83
2021-10-19,147.06,173.2,52.82,81.2,390.37,122.96,51.7,159.85,166.17,302.75,149.61,47.22
2021-10-20,147.55,175.43,53.25,82.18,386.32,122.89,51.85,162.01,166.27,301.94,152.79,48.36
2021-10-21,147.77,173.35,52.77,79.97,386.04,111.14,52.44,160.73,165.99,305.23,154.24,48.16
2021-10-22,146.99,182.74,52.22,80.67,392.41,110.75,46.32,162.9,164.79,303.66,156.34,47.75
2021-10-25,146.94,178.08,52.25,81.64,392.82,110.54,46.27,162.1,166.25,302.65,155.57,47.43
2021-10-26,147.61,176.75,52.88,83.3,395.53,110.1,45.21,162.54,166.03,304.59,154.47,47.88
2021-10-27,147.15,173.9,53.23,80.52,389.26,108.4,44.85,159.15,162.46,317.42,153.84,47.48
